# Historical Returns Dataset for FIRE Planner (Synthetic Data)
# Generated: 2026-02-17
# Purpose: Realistic synthetic approximation of historical asset class returns for Monte Carlo simulation
# License: Synthetic data for educational/planning purposes only - not actual market data
#
# Sources (patterns approximated):
# - US Equities: Based on S&P 500 patterns (Damodaran NYU Stern methodology)
# - SG Equities (STI): Based on SGX Straits Times Index patterns (1987-2024)
# - Intl Equities: Based on MSCI World ex-US patterns (1970-2024)
# - US Bonds: Based on 10-year Treasury patterns (FRED methodology)
# - REITs: Based on FTSE NAREIT patterns (1972-2024)
# - Gold: Based on LBMA gold price patterns (1968-2024)
# - Cash: Based on 3-month T-Bill rates (FRED)
# - CPF: Singapore CPF blended OA+SA rate (constant 3%)
# - US_CPI: US inflation (FRED patterns)
# - SG_CPI: Singapore inflation (SingStat patterns, 1961-2024)
# - USD_SGD_Change: USD/SGD exchange rate annual change (MAS patterns, 1981-2024)
#
# All return values are decimal fractions (0.10 = 10%)
# Blank cells indicate data not available for that period
#
Year,US_Equities,SG_Equities,Intl_Equities,Bonds,REITs,Gold,Cash,CPF,US_CPI,SG_CPI,USD_SGD_Change
1928,0.4361,,,0.0084,,,0.0356,0.03,-0.0097,,
1929,-0.0842,,,0.0442,,,0.0475,0.03,-0.0020,,
1930,-0.2512,,,0.0466,,,0.0241,0.03,-0.0630,,
1931,-0.4384,,,0.0207,,,0.0107,0.03,-0.0930,,
1932,-0.0864,,,0.0822,,,0.0088,0.03,-0.1030,,
1933,0.4998,,,0.0138,,,0.0031,0.03,0.0051,,
1934,0.0219,,,0.0784,,,0.0016,0.03,0.0202,,
1935,0.4157,,,0.0445,,,0.0017,0.03,0.0299,,
1936,0.3112,,,0.0475,,,0.0018,0.03,0.0121,,
1937,-0.3503,,,0.0123,,,0.0031,0.03,0.0290,,
1938,0.2928,,,0.0421,,,0.0032,0.03,-0.0278,,
1939,-0.0110,,,0.0445,,,0.0002,0.03,0.0000,,
1940,-0.1067,,,0.0509,,,0.0000,0.03,0.0096,,
1941,-0.1277,,,0.0047,,,0.0015,0.03,0.0996,,
1942,0.1917,,,0.0207,,,0.0027,0.03,0.0929,,
1943,0.2506,,,0.0200,,,0.0035,0.03,0.0318,,
1944,0.1903,,,0.0200,,,0.0038,0.03,0.0231,,
1945,0.3582,,,0.0337,,,0.0038,0.03,0.0225,,
1946,-0.0843,,,0.0003,,,0.0038,0.03,0.1826,,
1947,0.0520,,,0.0000,,,0.0043,0.03,0.0901,,
1948,0.0550,,,0.0100,,,0.0081,0.03,0.0290,,
1949,0.1831,,,0.0445,,,0.0106,0.03,-0.0180,,
1950,0.3081,,,0.0000,,,0.0112,0.03,0.0580,,
1951,0.2368,,,0.0039,,,0.0138,0.03,0.0587,,
1952,0.1815,,,0.0200,,,0.0164,0.03,0.0088,,
1953,-0.0099,,,0.0200,,,0.0182,0.03,0.0062,,
1954,0.5256,,,0.0300,,,0.0195,0.03,-0.0050,,
1955,0.3260,,,0.0000,,,0.0220,0.03,0.0037,,
1956,0.0744,,,0.0200,,,0.0248,0.03,0.0286,,
1957,-0.1057,,,0.0600,,,0.0281,0.03,0.0302,,
1958,0.4336,,,0.0200,,,0.0331,0.03,0.0176,,
1959,0.1195,,,0.0200,,,0.0359,0.03,0.0150,,
1960,0.0047,,,0.0900,,,0.0369,0.03,0.0148,,
1961,0.2689,,,-0.0200,,,0.0238,0.03,0.0067,0.0210,
1962,-0.0873,,,-0.0200,,,0.0273,0.03,0.0122,0.0180,
1963,0.2280,,,0.0000,,,0.0312,0.03,0.0165,0.0175,
1964,0.1648,,,0.0300,,,0.0350,0.03,0.0119,0.0165,
1965,0.1245,,,0.0000,,,0.0373,0.03,0.0192,0.0155,
1966,-0.1006,,,0.0200,,,0.0406,0.03,0.0335,0.0145,
1967,0.2398,,,0.0700,,,0.0453,0.03,0.0304,0.0125,
1968,0.1106,,,0.0300,,0.0580,0.0521,0.03,0.0472,0.0115,
1969,-0.0850,,,0.0500,,0.0820,0.0666,0.03,0.0611,0.0105,
1970,0.0401,0.0823,,0.1200,,0.0730,0.0649,0.03,0.0549,0.0095,
1971,0.1431,0.0945,,0.0900,,0.1315,0.0439,0.03,0.0336,0.0085,
1972,0.1898,0.1234,0.1856,0.0200,0.0678,0.4385,0.0384,0.03,0.0341,0.0075,
1973,-0.1466,-0.0823,-0.1456,0.0300,0.1576,-0.1185,0.0693,0.03,0.0880,0.2650,
1974,-0.2647,-0.1534,-0.2318,0.0200,-0.2178,-0.2445,0.0800,0.03,0.1220,0.2235,
